name,geometry,lat,lon
Ramna Restaurant,POINT (73.0888889 33.7081294),33.7081294,73.0888889
Arsalan Foods & Refreshment,POINT (73.0885292 33.7079253),33.7079253,73.0885292
Allah Badshah Lahori Bhasha Food,POINT (73.0884451 33.7078835),33.7078835,73.0884451
Milko Foods,POINT (73.0888669 33.7074853),33.7074853,73.0888669
New Ghausia,POINT (73.0886597 33.7073826),33.7073826,73.0886597
Mallik's,POINT (73.0879302 33.7076169),33.7076169,73.0879302
Munchies,POINT (73.0768512 33.7302041),33.7302041,73.0768512
Istanbul Restaurant,POINT (73.0766835 33.7301281),33.7301281,73.0766835
Naan Dhaaba,POINT (73.0756767 33.729404),33.729404,73.0756767
Casa Rouge,POINT (73.0750807 33.7295399),33.7295399,73.0750807
MeatEX,POINT (73.0735672 33.7273962),33.7273962,73.0735672
Pizza Party,POINT (73.0721657 33.7271383),33.7271383,73.0721657
川粤府,POINT (73.0713584 33.728528),33.728528,73.0713584
نشاۃ ثانیہ,POINT (72.9922833 33.6890285),33.6890285,72.9922833
KHAN RESTAURANT,POINT (72.9910535 33.6836422),33.6836422,72.9910535
Jayson Group,POINT (72.98663 33.6733844),33.6733844,72.98663
Mashallah Ravi,POINT (73.0162908 33.670912),33.670912,73.0162908
Norani Restaurant,POINT (73.0166449 33.6711051),33.6711051,73.0166449
Usman Restaurant,POINT (73.0167937 33.6711184),33.6711184,73.0167937
Rehmania Restaurant,POINT (73.0177205 33.6716832),33.6716832,73.0177205
Fancy Catering And Party Dacotors,POINT (73.0149653 33.674948),33.674948,73.0149653
Khan Shinwari,POINT (73.0153325 33.675229),33.675229,73.0153325
Chunga Restaurant,POINT (73.0173311 33.6771834),33.6771834,73.0173311
Burn Chilli,POINT (73.0172399 33.6771527),33.6771527,73.0172399
Al-Rehman Restaurant,POINT (72.9993502 33.6949647),33.6949647,72.9993502
Italian Oven,POINT (73.0136137 33.6955502),33.6955502,73.0136137
Toosoo Restaurant,POINT (73.013656 33.6954855),33.6954855,73.013656
Orient Restaurant,POINT (73.0134683 33.6943654),33.6943654,73.0134683
کینٹکی فرائیڈ چکن,POINT (73.0132048 33.6942271),33.6942271,73.0132048
Sufi Restaurant,POINT (73.0151834 33.693319),33.693319,73.0151834
