place_id,name,lat,lon,rating,user_ratings_total,types
ChIJm3l0g_qX3zgRg_L5PGzwafo,Al-Malik Homeo Clinic,33.64783879999999,72.9082749,4.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJCwV0QkW93zgRDxu9Y6kFtCI,Al ghazi medical store,33.66429189999999,72.8989197,5.0,2.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJxfRSh4W93zgR3dn88ujlX4w,Huzaifa pharmacy,33.6642743,72.8988724,1.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJuSVylwG93zgRMCHC7-_peZE,All Jannat PHARMACY and COSMETICS,33.66423500000001,72.8988178,4.4,13.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJfdwgj9ij3zgRywgAiiD3WOw,New Fayyaz Medical Store,33.66827489999999,72.89261929999999,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJVZI5Tb-j3zgRmz2or_8GEdQ,Al-samad pharmacy & cosmetics,33.6687774,72.8925223,5.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJAQL5PHCj3zgRz0PEn_MoNe8,UK pharmacy,33.6635942,72.89746459999999,5.0,5.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJWV9dLWuj3zgRtLXf_ZzFC54,Al Khidmat Medical Store & Clinic,33.66140669999999,72.89711849999999,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJ5akUWgG73zgRteiHD87b_c0,Friends homeopathic clinic,33.7879829,72.90082129999999,5.0,1.0,"drugstore, pharmacy, health, point_of_interest, store, establishment"
ChIJed5V6xe73zgR6x0h-rQlIqQ,Fazal e Elahi dawakhana,33.7899781,72.903424,4.7,3.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJ9_1VIgC73zgROHiemK8x-iU,Khan pharmacy,33.7903987,72.904288,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJu9U9WACP3zgRYc2OgPXqr-k,Mohra chaper,33.4709303,72.9229414,,,"pharmacy, point_of_interest, store, health, establishment"
ChIJ7SwwegCP3zgRZ04Hfn6yQZk,Moin pharmacy,33.4709303,72.9229414,5.0,3.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJncUSJZGP3zgRDUCWxudsPI0,Friends Pharmacy,33.4709303,72.9229414,,,"pharmacy, point_of_interest, store, health, establishment"
ChIJmZFrWZWP3zgRs3ciCdp6BAo,Maira Sharif,33.4640208,72.9220752,4.5,71.0,"drugstore, pharmacy, place_of_worship, university, school, point_of_interest, store, health, establishment"
ChIJITh7IpaX3zgRYy0Su5lylyU,I M Medicose,33.6317968,72.9219202,4.8,4.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJvSzeEJaX3zgR8FPTPgboqLs,New Alees Pharmacy,33.6320702,72.9215562,4.8,79.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJCcgStz2X3zgRcZ7WQtZD-S8,MALAK PHARMACY.,33.63193810000001,72.92180359999999,5.0,3.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJ52LtXcSX3zgRiPENS99PoVs,Mkas pharmacy,33.6318558,72.9219138,5.0,2.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJnfGonN6X3zgRYqVyJ0nIZq8,Dr.Ali's veterinary hospital,33.6334773,72.9186582,4.9,202.0,"pharmacy, veterinary_care, pet_store, health, point_of_interest, store, establishment"
ChIJS38a8UWX3zgRb2CEro6bQPA,Standard Pharmacy G 15,33.6330037,72.9227559,4.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJj_NlJgCX3zgRsNsmZY3VVNA,Healthify Pharmacy,33.63308129999999,72.9227554,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJv8HjJ4WX3zgR_TFZcXzdsYE,D.Watson Chemist and Superstore,33.6336875,72.92281249999999,3.8,86.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJTYxEvYiX3zgROs5cYf4YmI0,Green Plus Pharmacie,33.6334625,72.9232162,4.8,10.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJVXY__r2X3zgRRO0iK2YwivI,B&S Pharmacy G-15,33.63355560000001,72.9231621,4.6,13.0,"drugstore, pharmacy, health, point_of_interest, store, establishment"
ChIJyXrX7CiX3zgRf5VKrxIfHVM,ADAM’S PHARMACY,33.6334867,72.9232698,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJ_9aD4KCX3zgRHAtP8Fudhpk,Sehat Pharmacy,33.6326574,72.9242558,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJSfSknM6X3zgRcQZpHck-BOY,ABDULLAH PHARMACY,33.6329837,72.9240915,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJVZzr54CX3zgRGSDLkf_JBUc,Safa Pharmacy,33.6329885,72.92411790000001,3.3,14.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJqYqkx5mX3zgRyf5YsctIOZM,Hadi Vet Medical Store,33.6487832,72.910873,5.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJv1r9x_qX3zgRLL7yFD_TTbY,Timman Medicos,33.6490963,72.90990699999999,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJpQm3x_qX3zgRA0IAJWru4fY,Tahir Pharmacy,33.64853110000001,72.9095961,5.0,4.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJLYKELwCX3zgRfKg04atJZ3U,Tarnol pattak islamabad,33.6483565,72.9093853,4.2,26.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJ14KgwfqX3zgR9wpIppZJPeY,Umer Medical Store,33.6492951,72.9092922,3.7,3.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJpXhGv_qX3zgRQm8-PPHMI14,Faiz-e-Aam Dawakhana,33.6491657,72.9091822,4.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJ9awSlfqX3zgRuH5eO0viUmI,NOOR PHARMACY,33.6488895,72.90901769999999,5.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJk0dEcPCX3zgRswl0aLDOOic,Kashmir Medical Store,33.6470036,72.9085289,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJSb1id_CX3zgRVrUgck9ZGPo,Khyber Medical Store,33.6473364,72.90840829999999,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJD_HzegCX3zgR67mNcxA8YPA,Khyber Medical store and cosmetics,33.65281659999999,72.9102801,1.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJ7W6GBuqX3zgRY4nQyM7Px_k,Ismail Pharmacy,33.6529306,72.91017719999999,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJw5VRMPuX3zgRBhzWANnmJj4,Al Jannat pharmacy tarnol islamabad,33.6499448,72.9084441,5.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJT-g9QQCX3zgRcVt1UhAPvvA,Sha G pharmacy and cosmetic,33.6520494,72.9086579,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJK6G2IwDt3zgRXWhxW1Es2_c,Asif brother medical store,33.67337299999999,72.92582019999999,5.0,1.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJsaj1yFLp3zgRu6quHFt2i44,Syed Veterinary Medical Store,33.6831617,72.924545,,,"veterinary_care, pharmacy, hospital, point_of_interest, health, store, establishment"
ChIJW4oKj--93zgRJAD9e5tOFwI,Dua Homeopathic Clinic Shah Allah Ditta Islamabad (Pakistan),33.7131659,72.9207727,,,"drugstore, pharmacy, point_of_interest, health, store, establishment"
ChIJ10o0nQW73zgRNLgbZ6Tfwso,"Irum Pharmacy, Khanpur Tarnawa",33.7902109,72.9082224,4.6,8.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJmb5bjV-R3zgRDfIf22cIGqY,Health care pharmacy,33.5538725,72.9335339,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJZ7u6yuiX3zgRsB84HBqmbvA,Jhangi syedina,33.6166852,72.93872259999999,5.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJa_rCXLCX3zgR3UJTe_a2SMY,Shayan Pharmacy,33.6318761,72.9359166,3.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJD5MhjKuX3zgRDgv0ax1eN6s,Al Razzaq homoeopathic clinic,33.6243483,72.9417687,5.0,4.0,"drugstore, pharmacy, hospital, health, point_of_interest, store, establishment"
ChIJg0HCkaWX3zgRm46MsnVbKIU,Maaz Medical Store,33.6230907,72.934704,4.3,3.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJXfF5Rl6X3zgR6ahh_rIScig,Abdullah Medical and Cosmetics Store,33.6219752,72.9428076,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJY8eL1iqX3zgRlHXLvJCJpl8,Arsalan Medical STORE & COSMETICS,33.63548,72.93603329999999,4.4,11.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJJYCYH5aX3zgRxR9p39U8PuA,Arman pharmacy,33.6357358,72.93615799999999,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJ9YM4gHS93zgRW8zmTyG3ew8,Faizan pharmacy,33.67336480000001,72.9326763,,,"pharmacy, point_of_interest, store, health, establishment"
ChIJCfXaUZGR3zgRxJey833HNAY,SARDAR BANO PHARMACY,33.50795809999999,72.949671,5.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJUb6-xMaT3zgR0-0FpGc-eC4,Family care Homoeopathy clinic bani stop,33.5149669,72.95629939999999,5.0,9.0,"drugstore, pharmacy, point_of_interest, doctor, health, store, establishment"
ChIJyUVJtJaX3zgR5ACU8W_XQxE,Nisa clinic,33.6167079,72.9573352,5.0,1.0,"drugstore, pharmacy, point_of_interest, health, store, establishment"
ChIJm925GpqX3zgRsFPq43RqtKM,Ahsas Pharmacy,33.6253529,72.9656,4.0,2.0,"pharmacy, health, store, point_of_interest, establishment"
ChIJjZPq3fKX3zgRx44ce-VQ-TU,B+PHARMA & DISTRIBUTORS,33.65023709999999,72.9563174,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJv65qPFuX3zgRDWxh7sW3UyU,Spring Pharmacy,33.6445753,72.9586765,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJl7li4fKX3zgR-qFR-FgmG2Q,IQBAL PHARMACY,33.64404829999999,72.9588364,4.5,39.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJw6jY2QGX3zgRh2PrmlQMMDU,Paws & Feathers Pet Clinic,33.6513963,72.9532206,4.4,119.0,"pharmacy, veterinary_care, pet_store, health, food, point_of_interest, store, establishment"
ChIJiXXp3bSX3zgRNjNmlqeZVss,Al Noor Pharmacy,33.6514799,72.9529836,4.0,4.0,"pharmacy, health, point_of_interest, store, establishment"
